BAT_ID,EVENT_CD
bledj001,99
andum001,99
rookb001,20
sodet001,99
langs001,99
nevit001,23
geloz001,99
butll001,20
diaza003,99
bledj001,99
andum001,99
rookb001,99
sodet001,99
langs001,99
nevit001,99
geloz001,20
butll001,99
diaza003,99
bledj001,99
andum001,21
rookb001,99
rookb001,14
sodet001,99
langs001,99
nevit001,99
geloz001,99
butll001,99
diaza003,99
bledj001,20
andum001,14
rookb001,99
sodet001,99
langs001,99
nevit001,14
geloz001,99
camed001,99
bledj001,14
andum001,99
rookb001,99
nevit001,99
langs001,99
geloz001,99
alvaa002,21
schum002,14
camed001,99
bledj001,20
andum001,14
rookb001,14
nevit001,99
langs001,99
geloz001,99
alvaa002,20
schum002,99
camed001,21
bledj001,99
andum001,99
rookb001,23
nevit001,14
langs001,99
geloz001,99
alvaa002,99
schum002,99
camed001,99
bledj001,99
andum001,20
rookb001,99
sodet001,99
langs001,99
geloz001,20
alvaa002,20
butll001,99
camed001,99
camed001,14
bledj001,99
andum001,99
rookb001,99
sodet001,20
langs001,99
camed001,99
sodet001,99
andum001,21
rookb001,99
nevit001,99
butll001,99
alvaa002,20
mccak004,99
mccak004,14
schum002,21
camed001,99
sodet001,99
andum001,99
rookb001,21
nevit001,14
butll001,99
alvaa002,99
mccak004,99
schum002,14
camed001,99
sodet001,99
andum001,99
rookb001,99
nevit001,99
butll001,99
alvaa002,99
mccak004,14
schum002,99
camed001,99
sodet001,99
andum001,20
rookb001,20
nevit001,99
butll001,99
alvaa002,14
mccak004,20
schum002,99
camed001,99
butll001,21
andum001,99
rookb001,99
rookb001,23
langs001,99
nevit001,99
geloz001,99
camed001,99
harrb002,14
schum002,99
schum002,20
butll001,23
andum001,99
rookb001,99
langs001,99
nevit001,21
geloz001,99
camed001,99
camed001,23
harrb002,99
schum002,99
butll001,99
andum001,99
rookb001,99
langs001,21
nevit001,99
geloz001,99
camed001,99
harrb002,99
schum002,99
butll001,99
andum001,99
rookb001,99
langs001,14
brows003,20
geloz001,99
bledj001,99
toroa001,99
schum002,20
butll001,99
